"Gene ID","source_id","Product Description","Previous ID(s)"
"PBANKA_0000101","PBANKA_0000101.1","PIR protein","null"
"PBANKA_0000201","PBANKA_0000201.1","fam-c protein, pseudogene","null"
"PBANKA_0000301","PBANKA_0000301.1","fam-b protein","Previous IDs: PBANKA_050030"
"PBANKA_0000401","PBANKA_0000401.1","tryptophan-rich antigen, putative, pseudogene","null"
"PBANKA_0000600","PBANKA_0000600.1","PIR protein","Previous IDs: PB200100.00.0;PB500044.00.0;PBANKA_000060"
"PBANKA_0000701","PBANKA_0000701.1","PIR protein","null"
"PBANKA_0000801","PBANKA_0000801.1","PIR protein","null"
"PBANKA_0000901","PBANKA_0000901.1","fam-a protein","null"
"PBANKA_0001001","PBANKA_0001001.1","PIR protein","null"
"PBANKA_0001101","PBANKA_0001101.1","PIR protein","null"
"PBANKA_0001200","PBANKA_0001200.1","fam-a protein, pseudogene","Previous IDs: PBANKA_000120"
"PBANKA_0001201","PBANKA_0001201.1","PIR protein","null"
"PBANKA_0001301","PBANKA_0001301.1","PIR protein","null"
"PBANKA_0001401","PBANKA_0001401.1","PIR protein","null"
"PBANKA_0001501","PBANKA_0001501.1","PIR protein","null"
"PBANKA_0001601","PBANKA_0001601.1","fam-a protein","Previous IDs: PB100045.00.0;PB100915.00.0;PB100916.00.0;PB103744.00.0;PB403108.00.0;PB403124.00.0;PBANKA_020020"
"PBANKA_0006300","PBANKA_0006300.1","PIR protein","Previous IDs: PBANKA_000630"
"PBANKA_0006401","PBANKA_0006401.1","PIR protein, pseudogene","null"
"PBANKA_0006501","PBANKA_0006501.1","PIR protein, pseudogene","null"
"PBANKA_0006600","PBANKA_0006600.1","PIR protein, pseudogene","Previous IDs: PBANKA_000660"
"PBANKA_0006701","PBANKA_0006701.1","PIR protein, pseudogene","null"
"PBANKA_0006800","PBANKA_0006800.1","PIR protein, pseudogene","Previous IDs: PBANKA_000680"
"PBANKA_0006900","PBANKA_0006900.1","PIR protein, pseudogene","Previous IDs: PBANKA_000690"
"PBANKA_0007000","PBANKA_0007000.1","PIR protein, pseudogene","Previous IDs: PBANKA_000700"
"PBANKA_0007100","PBANKA_0007100.1","PIR protein, pseudogene","Previous IDs: PBANKA_000710"
"PBANKA_0007200","PBANKA_0007200.1","PIR protein, pseudogene","Previous IDs: PBANKA_000720"
"PBANKA_0007300","PBANKA_0007300.1","PIR protein, pseudogene","Previous IDs: PBANKA_000730"
"PBANKA_0007401","PBANKA_0007401.1","PIR protein","Previous IDs: PB200111.00.0;PB200113.00.0;PB402964.00.0;PB403011.00.0;PB406008.00.0;PB500038.00.0;PBANKA_020010"
"PBANKA_0007501","PBANKA_0007501.1","fam-a protein","Previous IDs: PB100045.00.0;PB100915.00.0;PB100916.00.0;PB103744.00.0;PB403108.00.0;PB403124.00.0;PBANKA_020020"
"PBANKA_0007601","PBANKA_0007601.1","PIR protein","null"
"PBANKA_0007701","PBANKA_0007701.1","PIR protein, pseudogene","null"
"PBANKA_0007801","PBANKA_0007801.1","fam-b protein","Previous IDs: PB103056.00.0;PBANKA_070040"
"PBANKA_0007901","PBANKA_0007901.1","PIR protein","null"
"PBANKA_0008001","PBANKA_0008001.1","PIR protein","null"
"PBANKA_0008101","PBANKA_0008101.1","fam-a protein","null"
"PBANKA_0008201","PBANKA_0008201.1","PIR protein","null"
"PBANKA_0008301","PBANKA_0008301.1","PIR protein, pseudogene","null"
"PBANKA_0008401","PBANKA_0008401.1","PIR protein, pseudogene","null"
"PBANKA_0008501","PBANKA_0008501.1","PIR protein, pseudogene","null"
"PBANKA_0008601","PBANKA_0008601.1","PIR protein, pseudogene","null"
"PBANKA_0008701","PBANKA_0008701.1","PIR protein, pseudogene","null"
"PBANKA_0008801","PBANKA_0008801.1","PIR protein, pseudogene","null"
"PBANKA_0008901","PBANKA_0008901.1","PIR protein, pseudogene","null"
"PBANKA_0009101","PBANKA_0009101.1","PIR protein, pseudogene","null"
"PBANKA_0100021","PBANKA_0100021.1","fam-b protein","Previous IDs: PB402699.00.0;PBANKA_020080"
"PBANKA_0100041","PBANKA_0100041.1","conserved rodent malaria protein, unknown function","Previous IDs: PB401947.00.0;PBANKA_020090"
"PBANKA_0100061","PBANKA_0100061.1","fam-c protein","Previous IDs: PB107749.00.0;PBANKA_000520"
"PBANKA_0100081","PBANKA_0100081.1","PIR protein, pseudogene","Previous IDs: PBANKA_100045"
"PBANKA_0100100","PBANKA_0100100.1","fam-a protein","Previous IDs: PB100485.00.0;PB108427.00.0;PB300838.00.0;PBANKA_010010"
"PBANKA_0100200","PBANKA_0100200.1","Plasmodium exported protein, unknown function","Previous IDs: PB108789.00.0;PB402722.00.0;PBANKA_010020"
"PBANKA_0100300","PBANKA_0100300.1","lysophospholipase, putative, pseudogene","Previous IDs: PB001224.02.0;PB301251.00.0;PBANKA_010030"
"PBANKA_0100400","PBANKA_0100400.1","reticulocyte binding protein, putative","Previous IDs: PB105536.00.0;PBANKA_010040"
"PBANKA_0100500","PBANKA_0100500.1","PIR protein","Previous IDs: PB106914.00.0;PB402406.00.0;PBANKA_010050"
"PBANKA_0100600","PBANKA_0100600.1","schizont membrane associated cytoadherence protein","Previous IDs: PB106913.00.0;PBANKA_010060"
"PBANKA_0100700","PBANKA_0100700.1","Plasmodium exported protein, unknown function","Previous IDs: PB102655.00.0;PB402379.00.0;PBANKA_010070"
"PBANKA_0100800","PBANKA_0100800.1","zinc finger protein, putative","Previous IDs: PB000291.01.0;PB300775.00.0;PBANKA_010080"
"PBANKA_0100900","PBANKA_0100900.1","ATP-dependent RNA helicase, putative","Previous IDs: PB001112.02.0;PB301243.00.0;PBANKA_010090"
"PBANKA_0101000","PBANKA_0101000.1","MYND-type zinc finger protein, putative","Previous IDs: PB001117.02.0;PB300247.00.0;PB300583.00.0;PBANKA_010100"
"PBANKA_0101100","PBANKA_0101100.1","liver merozoite formation protein","Previous IDs: PB001116.02.0;PBANKA_010110"
"PBANKA_0101200","PBANKA_0101200.1","elongation factor G, putative","Previous IDs: PB001113.02.0;PB300521.00.0;PBANKA_010120"
"PBANKA_0101300","PBANKA_0101300.1","geranylgeranyl transferase type-2 subunit beta, putative","Previous IDs: PB001114.02.0;PB301566.00.0;PBANKA_010130"
"PBANKA_0101400","PBANKA_0101400.1","SAC3 domain-containing protein, putative","Previous IDs: PB001115.02.0;PBANKA_010140"
"PBANKA_0101500","PBANKA_0101500.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000865.01.0;PBANKA_010150"
"PBANKA_0101600","PBANKA_0101600.1","JmjC domain-containing protein, putative","Previous IDs: PB301508.00.0;PBANKA_010160"
"PBANKA_0101700","PBANKA_0101700.1","conserved Plasmodium protein, unknown function","Previous IDs: PB301509.00.0;PBANKA_010170"
"PBANKA_0101800","PBANKA_0101800.1","conserved Plasmodium protein, unknown function","Previous IDs: PB001235.00.0;PB300372.00.0;PBANKA_010180"
"PBANKA_0101900","PBANKA_0101900.1","RNA-binding protein, putative","Previous IDs: PB001234.00.0;PBANKA_010190"
"PBANKA_0102000","PBANKA_0102000.1","mitochondrial chaperone BCS1, putative","Previous IDs: PB001168.02.0;PBANKA_010200"
