Cluster#,GeneID,CORUM complex,Product Description,#TM Domains,Ortholog Group,Computed GO Components,Computed GO Functions,Computed GO Processes,Symbol,Phenotype Bushell 2017,Phenotype Zhang 2018
1,PF3D7_0515000,,"pre-mRNA-splicing factor CWC2, putative",0,OG5_130975,null,"metal ion binding, nucleic acid binding, nucleotide binding",null,CWC2,Essential,Mutable in CDS
1,PF3D7_1445600,,"RNA-binding protein, putative",0,OG5_153136,null,"nucleic acid binding, nucleotide binding",null,PF14_0433,Essential,Mutable in CDS
1,PF3D7_1007200,,"rhoGAP GTPase, putative",0,OG5_130776,"intracellular, membrane",null,signal transduction,PF10_0071,Dispensable,Non - Mutable in CDS
2,PF3D7_0806500,,"DnaJ protein, putative",0,OG5_132460,null,null,null,PF08_0115,,Non - Mutable in CDS
2,PF3D7_0826700,,receptor for activated c kinase,0,OG5_127516,null,protein binding,null,RACK1,,Non - Mutable in CDS
2,PF3D7_1347700,,ethanolamine-phosphate cytidylyltransferase,0,OG5_127671,null,catalytic activity,biosynthetic process,ECT,Slow,Non - Mutable in CDS
3,PF3D7_0415500,,"nuclear cap-binding protein subunit 2, putative",0,OG5_127988,nuclear cap binding complex,"RNA cap binding, nucleic acid binding, nucleotide binding","mRNA cis splicing, via spliceosome",CBP20,Dispensable,Non - Mutable in CDS
3,PF3D7_0810600,,"ATP-dependent RNA helicase DBP1, putative",0,OG5_126849,null,"ATP binding, nucleic acid binding",null,DBP1,Slow,Mutable in CDS
3,PF3D7_0818700,,"DNA helicase, putative",0,OG5_139477,null,"ATP binding, DNA binding",null,MAL8P1.65,Dispensable,Mutable in CDS
3,PF3D7_1002400,,"RNA-binding protein, putative",0,OG5_127745,null,"nucleic acid binding, nucleotide binding",null,PF3D7_1002400.1,,
3,PF3D7_1224300,,"polyadenylate-binding protein, putative",0,OG5_126795,null,"RNA binding, nucleotide binding",null,PABP,Essential,Non - Mutable in CDS
3,PF3D7_0102900,,aspartate--tRNA ligase,0,OG5_127227,cytoplasm,"ATP binding, aspartate-tRNA ligase activity, nucleic acid binding",aspartyl-tRNA aminoacylation,MAL1P1.20,Essential,Non - Mutable in CDS
3,PF3D7_0617800,,histone H2A,0,OG5_126570,"nucleosome, nucleus","DNA binding, protein heterodimerization activity",null,H2A,Slow,Non - Mutable in CDS
3,PF3D7_0602100,,"ATP-dependent RNA helicase, putative",0,OG5_127259,null,"ATP binding, hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides, nucleic acid binding",null,2270.T00294,Essential,Non - Mutable in CDS
3,PF3D7_0211800,,asparagine--tRNA ligase,0,OG5_126756,cytoplasm,"ATP binding, asparagine-tRNA ligase activity, nucleic acid binding",asparaginyl-tRNA aminoacylation,ASNRS,Slow,Non - Mutable in CDS
3,PF3D7_0617900,,histone H3 variant,0,OG5_126569,nucleosome,"DNA binding, protein heterodimerization activity",null,H3.3,Slow,Non - Mutable in CDS
3,PF3D7_0923900,,"RNA-binding protein, putative",0,OG5_127457,null,"nucleic acid binding, nucleotide binding",null,PFI1175C,,Non - Mutable in CDS
3,PF3D7_1459000,,ATP-dependent RNA helicase DBP5,0,OG5_127716,null,"ATP binding, nucleic acid binding",null,DBP5,Essential,Non - Mutable in CDS
3,PF3D7_1350100,,lysine--tRNA ligase,0,OG5_126972,cytoplasm,"ATP binding, lysine-tRNA ligase activity, nucleic acid binding",lysyl-tRNA aminoacylation,KRS1,,Non - Mutable in CDS
3,PF3D7_1230700,,protein transport protein SEC13,0,OG5_127687,null,protein binding,null,SEC13,Essential,Non - Mutable in CDS
4,PF3D7_1108400,,"casein kinase 2, alpha subunit",0,OG5_126901,null,"ATP binding, protein kinase activity",protein phosphorylation,CK2ALPHA,Essential,Non - Mutable in CDS
4,PF3D7_0508800,,single-stranded DNA-binding protein,0,OG5_127389,null,single-stranded DNA binding,DNA replication,SSB,Slow,Non - Mutable in CDS
5,PF3D7_1343600,,"UDP-N-acetylglucosamine pyrophosphorylase, putative",0,OG5_127359,null,uridylyltransferase activity,metabolic process,MAL13P1.218,Slow,Non - Mutable in CDS
5,PF3D7_1409800,,"CUGBP Elav-like family member 2, putative",0,OG5_163858,null,"nucleic acid binding, nucleotide binding, protein binding",null,CELF2,Dispensable,Mutable in CDS
6,PF3D7_1412400,,"conserved Plasmodium protein, unknown function",2,OG5_161574,null,phosphatidylinositol phosphate kinase activity,phosphatidylinositol metabolic process,PF14_0123,Essential,Mutable in CDS
6,PF3D7_1026800,,40S ribosomal protein S2,0,OG5_127014,small ribosomal subunit,structural constituent of ribosome,translation,RPS2,Essential,Non - Mutable in CDS
7,PF3D7_0606600,,"conserved Plasmodium protein, unknown function",0,OG5_166976,cytoplasm,"ATP binding, protein binding",null,2270.T00250,Dispensable,Mutable in CDS
7,PF3D7_0520500,,"phosphomethylpyrimidine kinase, putative",0,OG5_128612,null,null,null,MAL5P1.206,,Mutable in CDS
7,PKNH_1402300,,"gametocyte associated protein, putative",1,OG5_243608,null,null,null,,,
7,PKNH_1473300,,"Plasmodium exported protein (PHIST), unknown function",0,OG5_156665,null,null,null,,,
8,PF3D7_0806600,,"kinesin-like protein, putative",0,OG5_167346,null,"ATP binding, microtubule binding, microtubule motor activity",microtubule-based movement,MAL8P1.132,Slow,Mutable in CDS
8,PF3D7_1136500,,casein kinase 1,0,OG5_126780,null,"ATP binding, protein kinase activity",protein phosphorylation,PF3D7_1136500.1,Essential,
9,PF3D7_0934800,DNA-PK-Ku-eIF2-NF90-NF45 complex,cAMP-dependent protein kinase catalytic subunit,0,OG5_126748,null,"ATP binding, protein serine/threonine kinase activity",protein phosphorylation,PKAC,Essential,Non - Mutable in CDS
9,PF3D7_0728000,DNA-PK-Ku-eIF2-NF90-NF45 complex,"eukaryotic translation initiation factor 2 subunit alpha, putative",0,OG5_127433,eukaryotic translation initiation factor 2 complex,translation initiation factor activity,null,PF07_0117,,Non - Mutable in CDS
9,PF3D7_1410600,DNA-PK-Ku-eIF2-NF90-NF45 complex,"eukaryotic translation initiation factor 2 subunit gamma, putative",0,OG5_127447,null,"GTP binding, GTPase activity",null,EIF2GAMMA,,Non - Mutable in CDS
9,PF3D7_1344200,DNA-PK-Ku-eIF2-NF90-NF45 complex,"heat shock protein 110, putative",0,OG5_128359,null,null,null,HSP110,Essential,Non - Mutable in CDS
